gm_Id,Id_W,L,VDS,gm_gds
19.19070844238798,0.9525473607065188,4.5e-08,0.3,9.872319928246638
18.07987348251327,1.434828701814928,4.5e-08,0.3,9.539070943087452
17.13125823619125,2.112826925360559,4.5e-08,0.3,9.268869137822382
16.33749013780727,3.052222218328775,4.5e-08,0.3,9.064155120794714
15.66480921084598,4.339007305659248,4.5e-08,0.3,8.915019521708151
15.06385733846763,6.082938754874367,4.5e-08,0.3,8.801960217731697
14.48154670692806,8.41808278494425,4.5e-08,0.3,8.700016866195877
13.87197365442836,11.49838128095975,4.5e-08,0.3,8.583395685649794
13.20470272817502,15.48679928032405,4.5e-08,0.3,8.429867317296512
12.46883230335252,20.5384611573271,4.5e-08,0.3,8.224187994526595
11.67205083416276,26.78081200841661,4.5e-08,0.3,7.959863815324526
10.83547570675427,34.29586241002281,4.5e-08,0.3,7.638967690966465
9.986484969642612,43.10950080868848,4.5e-08,0.3,7.270305094940429
9.15205585668066,53.19043955277733,4.5e-08,0.3,6.866684070701249
8.354269546934374,64.45796348375087,4.5e-08,0.3,6.442149215450511
7.608369117876848,76.79514563994293,4.5e-08,0.3,6.009809164858902
6.922823191881488,90.06354687554507,4.5e-08,0.3,5.580516473054332
6.300518886106427,104.1163073385651,4.5e-08,0.3,5.162344831229806
5.740326204226952,118.808025599387,4.5e-08,0.3,4.760644090135231
5.238563767950136,134.0011183297783,4.5e-08,0.3,4.378427488989981
4.790160535965897,149.5691358361706,4.5e-08,0.3,4.016899173915942
4.389480003899669,165.3978133194922,4.5e-08,0.3,3.676006817446899
4.0308577100723,181.3846450118375,4.5e-08,0.3,3.354968468103432
3.708929509870102,197.4376524750245,4.5e-08,0.3,3.052757620789825
3.418823719591387,213.4738884967835,4.5e-08,0.3,2.768529614963969
3.156270806937288,229.4181109718771,4.5e-08,0.3,2.50194101665552
2.917658298789353,245.2019534099341,4.5e-08,0.3,2.253279077560476
2.700034307679641,260.7637578043704,4.5e-08,0.3,2.023331342651598
2.501052254784888,276.0490005351705,4.5e-08,0.3,1.813019375679469
2.318859595373477,291.0110013690737,4.5e-08,0.3,1.622948902952664
2.151955846479811,305.6114937413457,4.5e-08,0.3,1.453079324718492
24.20105425222816,0.1698485047867648,4.5e-08,0.4,14.09945353672507
22.92266388384159,0.285273101784871,4.5e-08,0.4,13.59843889634886
21.57717584979529,0.4654414686807409,4.5e-08,0.4,13.06535614265843
20.24252125794068,0.7372239212822204,4.5e-08,0.4,12.5342463743779
18.99386084246462,1.134843268051886,4.5e-08,0.4,12.04205836309189
17.88535645844847,1.702066421444766,4.5e-08,0.4,11.61982380732062
16.93946973972639,2.495706741839185,4.5e-08,0.4,11.28544752342967
16.14638166879497,3.590179678476139,4.5e-08,0.4,11.0405158226325
15.47116545290733,5.082198918308478,4.5e-08,0.4,10.87122077613027
14.86470449207235,7.094079990769247,4.5e-08,0.4,10.7520662472604
14.27530313630935,9.773603999380724,4.5e-08,0.4,10.6509867352428
13.65911722109684,13.2882913842938,4.5e-08,0.4,10.53499141329688
12.98785606640569,17.81279464938128,4.5e-08,0.4,10.37560245522221
12.25229904680554,23.51024488545269,4.5e-08,0.4,10.15317397290285
11.46098148865148,30.51117560943599,4.5e-08,0.4,9.859160928871196
10.63494300851186,38.89553975703665,4.5e-08,0.4,9.49589243665136
9.800739919879726,48.68286760225203,4.5e-08,0.4,9.074209221725337
8.984120200522897,59.83277721135871,4.5e-08,0.4,8.609964283781304
8.205871480847263,72.2544639961937,4.5e-08,0.4,8.120521378231288
7.480124970390361,85.82138863395288,4.5e-08,0.4,7.622057855854931
6.814537931546697,100.3869783327651,4.5e-08,0.4,7.1279744505364
6.2115029864122,115.7982674592742,4.5e-08,0.4,6.648307573148521
5.669670203628984,131.9060066143605,4.5e-08,0.4,6.189841495771267
5.185349537833127,148.5710859870966,4.5e-08,0.4,5.756598309364175
4.753610584854581,165.6678686331211,4.5e-08,0.4,5.350458045460894
4.36905414392159,183.0852837475238,4.5e-08,0.4,4.971757446668735
4.02630462708851,200.7264834521503,4.5e-08,0.4,4.619795140521647
3.720293908000982,218.5076928646621,4.5e-08,0.4,4.293222705748583
3.446402484624943,236.3566900287635,4.5e-08,0.4,3.990328887777658
3.200509782182517,254.2111891832933,4.5e-08,0.4,3.709235809162363
2.978990596107699,272.0172814164299,4.5e-08,0.4,3.448028501916247
2.778682415860396,289.7280075876341,4.5e-08,0.4,3.204837351785831
2.596839389807979,307.3020906534771,4.5e-08,0.4,2.977889919919558
2.431082616581673,324.702829476693,4.5e-08,0.4,2.765545421155883
