waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))ic" ?result "dc")) "L" 4.5e-08) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))ic" ?result "dc")) "L" 4.5e-08) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 8.944444e-08) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 8.944444e-08) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.338889e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.338889e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.783333e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 1.783333e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.227778e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.227778e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.672222e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 2.672222e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.116667e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.116667e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.561111e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 3.561111e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 4.005556e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))hematic" ?result "dc")) "L" 4.005556e-07) Y,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))tic" ?result "dc")) "L" 4.45e-07) X,waveVsWave(?x getData("nmos:gm" ?result "dc")/getData("nmos:id" ?result "dc") ?y getData("nmos:gm" ?result "dc")/getData("nmos:gds" ?result "dc"))tic" ?result "dc")) "L" 4.45e-07) Y
27.08192919728597,18.56924741206521,29.10478714621549,26.70603420027112,29.08255050978735,29.72343381266514,28.79656622541142,31.7002783149244,28.4659968440237,33.18447207650025,28.14956262560021,34.3858107652266,27.86221248163742,35.40835573139449,27.60570315843436,36.30951393894794,27.37760874694481,37.12331598459706,27.17443121536615,37.87113738412234
26.25745765433319,18.15746673648623,28.02059331275342,26.08876743525723,27.86937156369373,28.99727404222115,27.50861793724242,30.91995944123042,27.12441522422379,32.37855003661582,26.77270610905743,33.57582088896559,26.46316713111288,34.6090448918553,26.19327880785832,35.53052996260306,25.95760834690575,36.37076535913639,25.75063939615463,37.14874492985689
25.25644350932907,17.65513669413953,26.7306651234658,25.34915489026136,26.4751006945968,28.16840629977285,26.07352119828122,30.07423129782792,25.66936633303073,31.55005406327768,25.31169489230869,32.78549431163493,25.00389932480545,33.86824601006515,24.73951420162429,34.84459626513348,24.51087478097121,35.74148132968534,24.31127138362141,36.57588405150567
24.08977665631908,17.06565847466824,25.28188807292864,24.51246124032822,24.97153426137695,27.28941510449418,24.57371631729678,29.23439778008645,24.1848669898787,30.78001521961995,23.84583540559067,32.09761046471939,23.55567185317096,33.26481225600032,23.30632372157557,34.32304934893861,23.08985624760757,35.29722393264149,22.89981207411639,36.20370510031605
22.79553045752825,16.40710649841304,23.75792870508373,23.63075430207791,23.45380428664439,26.43463327677847,23.09661936336736,28.47882689563474,22.74318481774113,30.13865175726387,22.43036677289712,31.56727011431672,22.15788503882834,32.8358582437531,21.91962459008424,33.98458001930682,21.70952473227529,35.03906070765074,21.52259612495739,36.01698886844037
21.43769388394394,15.71339456529692,22.26012391476857,22.77450637077149,22.00968436219397,25.67782275916915,21.70317921466595,27.86298081781159,21.37957389951098,29.65491550960667,21.08041129826423,31.19621861827995,20.81145827333271,32.55858866404565,20.57100357972584,33.78547758794339,20.35574657338693,34.9058942566072,20.16232104673878,35.94031810436123
20.09475663789384,15.02998392352788,20.87663610058145,22.01278158729645,20.68992366830419,25.0648246300175,20.4101115863018,27.39613789156479,20.08829229144317,29.30357832699385,19.77824845435405,30.93176963281471,19.49378080610852,32.35995918633367,19.23720859472711,33.63806850774121,19.00698672179741,34.79969020349873,18.80037419793863,35.86838087012018
18.8411605403187,14.40442716756134,19.65545672180079,21.39039788338201,19.49638205173292,24.59602110242328,19.19481259260032,27.03786230005257,18.83868774250949,29.01571977319798,18.49447062584046,30.68778423243457,18.18078274026653,32.14441738345107,17.90081962675696,33.4423180974017,17.65248504712912,34.6189288653005,17.43212550877873,35.69995415490689
17.7294152620353,13.87521488732713,18.59450197392699,20.91333489589468,18.39198899100933,24.22702936854846,18.01618107334889,26.71378321788291,17.59811181834445,28.70378644402714,17.20814847484827,30.37366091224882,16.8626339673998,31.82344590034799,16.56133745627333,33.11410481589769,16.29921677986221,34.28474251095551,16.07041410180123,35.36156705496851
16.78015317525313,13.4634179732439,17.65078604486399,20.54830882680096,17.32395031757805,23.88513730353512,16.83790276159027,26.34074631439839,16.34916223463282,28.28816994896831,15.91713951535958,29.91852551079028,15.54820306984648,31.33596980358773,15.23522793616596,32.60162585462313,14.96877279564436,33.75357902056574,14.74022726051332,34.81683638651821
15.98227811897701,13.16960877863357,16.76145895234342,20.23470965267389,16.2476535611375,23.49262829181759,15.64357660258857,25.85026576687412,15.09553810476706,27.71581013818733,14.63731448792879,29.28404639452399,14.26018702291285,30.6559672620254,13.94874003772021,31.88873343240989,13.68900607035717,33.01713787868037,13.46987411419892,34.06372020023883
15.30053391915179,12.97561448189624,15.86703472585776,19.90282522636879,15.1416907861592,22.98770524332717,14.43969877783741,25.20286206943652,13.85756107820854,26.96699279147922,13.39462456305958,28.46525873866516,13.02604097260249,29.78903348423069,12.72886656149351,30.98856054153544,12.48556094902737,32.09398644293274,12.28329800168961,33.12475879045228
14.68643463267571,12.8492260637756,14.92887617293093,19.49182674004225,14.01044313186811,22.33678018331501,13.2489441702745,24.39105068616498,12.662586820471,26.05167468522603,12.21567932220063,27.48294650709398,11.86978677978002,28.76260581280146,11.59661210347017,29.93264494680407,11.37652126808513,31.01818811477052,11.19593249579946,32.03555027441421
14.08960622497839,12.75030597402769,13.93640547592915,18.96246638971648,12.87676775766829,21.53636344381953,12.09965870000415,23.4333353489136,11.53593084043419,24.99979942522274,11.12102712876253,26.37267718232383,10.80743203473271,27.61484520686989,10.56411481791369,28.7601452392932,10.37083365866302,29.82903990000512,10.21410925592838,30.8350584584583
13.46779907217739,12.63747949684319,12.90384584459163,18.30189300042926,11.77075056075745,20.60683483657337,11.0169728677139,22.36389242716741,10.49547861880428,23.85045887346048,10.12245057374672,25.17468408717068,9.846088832093221,26.38554688099543,9.634968199913226,27.50976330499681,9.469421450122828,28.56389360765699,9.336696017053926,29.55920301203197
12.79414641173494,12.47472480313491,11.86027876895355,17.52091687810399,10.72005236625387,19.5824484750977,10.01804519962765,21.22235429809069,9.55025480353622,22.64317487051339,9.223414427450653,23.92674559702725,8.985441739780722,25.11035701375623,8.806233182699625,26.21501548230322,8.667477356267977,27.25424675651049,8.557521723455112,28.23758780561829
